object,Action1,Action2,Action3
apple,holding,eating,stealing
bottle,holding,drinking,throwing
watch,wearing,looking at,stealing
plate,eating on,cleaning,smashing
fan,standing in front of,cooling next to,assembling
chair,sitting on,making ,breaking
headphones,wearing,making,stealing
cactus,standing next to,cutting down,injured by
laptop,sitting behind,working on,stealing
wallet,holding,opening,stealing
plane,looking at,sitting inside,hijacking
pasta,cooking,eating,enjoying
clock,looking at,standing next to,smashing
globe,looking at,spinning,not understanding
knife,cutting with,holding,stabbing with
pen,holding,writing with,stealing
couch,sitting on,moving,stealing
sneakers,wearing,running with,throwing
guitar,playing,tuning,smashing
candle,blowing out,lighting,making
pizza,eating,cooking,delivering
forest,standing in,walking into,chopping down
lamp,turning on,sleeping next to,breaking
keyboard,working on,playing,struggling with
cookie,eating,baking,delivering
piano,sitting on,playing,breaking
perfume,spraying,wearing,selling
slipper,wearing,buying,hitting with
table,making,having dinner at,flipping
soda,drinking,buying,thirsty for
bench,sitting on,running next to,sleeping on
shoes,wearing,with a clean pair of,"holding old, dirty"
camera,taking a picture with,holding,smashing
remote,holding,playing with,throwing
spoon,eating with,picking up,using their hands as
cake,eating,baking,celebrating with
wine,drinking,buying,stealing
brush,painting with,holding,snapping
poster,standing next to,laughing at,tearing down
fork,eating with,holding,stabbing with
tree,climbing,cutting down,hanging from
moon,staring at,standing on,flying to 
bicycle,riding,crashing,stealing
gold,finding,wearing,stealing
soccer,playing,watching,crying over
toothbrush,brushing with,holding,washing
rug,standing on,selling,sleeping on
cat,patting,playing with,kicking
dog,patting,playing with,kicking
sun,staring at ,relaxing under,working under
car,driving,buying,stealing
flower,smelling,picking up,destroying
basket,putting clothes in,putting fruit into,making
television,watching,buying,stealing
garden,landscaping,planting flowers in,working in
road,walking on,hitchhiking on,dead on
ring,wearing,giving someone,stealing
flag,waving a civil rights,waving a national,waving a pride
mirror,looking into,cleaning,breaking
tissue,wiping with,crying with,burning
shark,swimming next to,eating,killing
beach,swimming at,relaxing on,working at
phone,selling,buying,stealing
horse,riding,taming,stealing
glasses,wearing,losing,stealing
ball,kicking,running with,throwing
umbrella,holding,running after,stealing
blanket,folding,laying warm under,begging for
cow,looking at,eating,slaughtering
boat,fishing off,sailing on,seeking refuge on
pencil,drawing with,sharpening,stealing
basketball,playing,running with,throwing
soap,washing with,making,not using
pillow,sleeping on,holding,not owning
sword,holding,fighting with,killing with 
book,reading,holding,burning
box,folding,putting items in,moving
robot,building,programming,scared of
door,opening,closing,kicking down
towel,cleaning with,drying with,wearing
crown,wearing,honouring royalty with,stealing
necklace,wearing,gifting someone,stealing
coffee,making,serving,farming
burger,making ,eating,protesting
mouse,using,experimenting on ,torturing
stapler,using,making,throwing
cup,making,drinking,begging with
computer,working on,assembling,stealing
bird,watching,talking to,hunting
train,sitting on,running after,hijacking
bus,sitting on,running after,stealing
money,holding,giving someone,stealing
snake,scared of,having a pet,hunting
rocket,firing,building,declaring war with
gun,holding,firing,killing with 
spider,scared of,stepping on,killing
whale,swimming next to,eating,hunting
noodles,eating,buying,making
potato,cooking,eating,farming
beer,drinking,drunk on,serving
